date,operator,draw_no,1st,2nd,3rd,special,consolation
1985-08-17,Magnum 4D,050/85,9975,2851,6359,"1801,3021,5070,5618,6289,6340,6850,7111,7803,8866","1957,2267,2322,5501,6356,6606,7170,7789,8013,8686"
1985-08-18,Magnum 4D,051/85,4718,9943,5799,"4383,4753,4922,6289,6840,6855,6918,8487,8858,8996","0701,2708,2807,2814,3010,3196,6376,6419,9564,9666"
1985-08-22,Magnum 4D,052/85,3054,4306,3577,"0471,2324,3145,5251,6039,6524,6680,7412,7671,8892","2196,3077,3880,6520,6955,7506,8000,8826,9164,9630"
1985-08-24,Magnum 4D,053/85,7113,0241,6143,"0169,2707,3328,5459,6430,6714,7395,8497,9771,9822","1306,2918,3165,4496,4567,4703,5238,5907,6820,9863"
1985-08-25,Magnum 4D,054/85,5326,4683,8538,"0080,0395,0421,1332,1486,1724,2609,4215,4992,9420","0145,0340,1042,1974,3032,4974,5322,7573,8535,9317"
1985-08-29,Magnum 4D,055/85,1306,2128,8659,"1704,1781,1822,2474,4295,4696,6370,7330,7581,8730","2517,2778,2991,3343,3980,5661,6162,6698,7573,8716"
1985-08-31,Magnum 4D,056/85,6637,7632,5015,"0117,1987,2366,4540,6031,6460,7199,7565,7782,7848","0383,2221,3096,5234,5330,5339,5416,6564,7890,9555"
1985-09-01,Magnum 4D,057/85,0697,3340,1991,"0966,1254,2936,3770,4177,4413,4902,5596,7201,8214","1846,1887,3586,5274,5831,8352,8875,8914,9706,9797"
1985-09-05,Magnum 4D,058/85,4291,7531,4511,"1381,2678,2754,3560,4767,6014,7244,7682,9244,9738","1077,1077,2234,3242,3356,5544,7042,7872,8701,9783"
1985-09-07,Magnum 4D,059/85,8565,8967,5517,"0362,1360,3575,5225,6291,6475,6628,8268,8299,8600","0031,1329,2458,2489,2678,3549,3988,4418,6877,8576"
1985-09-08,Magnum 4D,060/85,6842,6101,4055,"1054,2361,2892,4698,6167,6290,6895,7331,7829,8534","0577,0996,2126,2596,2757,2880,4123,4359,8645,9330"
1985-09-12,Magnum 4D,061/85,9799,1023,4474,"0877,2559,2636,3934,5114,5566,7386,9099,9422,9507","0110,0215,0270,0547,0811,1351,4760,5079,6554,8566"
1985-09-14,Magnum 4D,062/85,1125,2965,4710,"1095,1857,2231,2515,2755,2964,4241,6945,8639,8956","1169,1796,1999,2156,2501,4245,5129,6650,8369,8573"
1985-09-15,Magnum 4D,063/85,3736,2147,9316,"1736,1834,3736,4856,7189,8254,8524,8926,9641,9928","1165,1423,3330,3699,3745,4200,6656,6892,9795,9945"
1985-09-19,Magnum 4D,064/85,2320,8225,4798,"0737,1244,4409,4428,4504,7731,9453,9513,9691,9819","1757,3599,3674,4041,4477,5123,5843,6882,9077,9808"
1985-09-21,Magnum 4D,065/85,9631,2411,3271,"1516,2216,2552,3634,3732,3931,4210,9160,9234,9951","1379,2165,2761,2983,4176,4893,6113,8132,8139,9281"
1985-09-22,Magnum 4D,066/85,4063,7757,3452,"0331,2118,4897,4995,5195,5463,5587,5757,6571,8586","0265,0291,0404,0731,1461,4709,5322,7557,8409,9319"
1985-09-26,Magnum 4D,067/85,7233,4167,4797,"0230,0322,1123,1698,3848,3995,6735,8431,8751,9479","0228,0579,0774,2322,2381,2645,3098,3918,7870,9312"
1985-09-28,Magnum 4D,068/85,6116,9028,8792,"0136,0587,0784,1058,1286,1935,2347,3556,4430,4582","0058,0250,0705,3120,3469,4027,6098,7019,8497,8922"
1985-09-29,Magnum 4D,069/85,7856,7672,3566,"0403,3193,4057,5893,6278,6945,7516,9182,9286,9968","0398,2333,3053,5308,6997,7443,7654,8151,8366,9222"
1985-10-03,Magnum 4D,070/85,8116,7602,3458,"0686,1607,2591,2748,3127,6767,6956,7380,7606,8931","0229,1305,1325,1339,5382,5689,6234,6563,6929,7635"
1985-10-05,Magnum 4D,071/85,0878,7751,9741,"0451,1492,3554,3890,5443,5710,6879,7191,8289,9419","0060,0438,0907,2403,4561,6197,6992,8010,8727,8909"
1985-10-06,Magnum 4D,072/85,9707,1186,4058,"1012,1886,3038,3637,3888,6596,6763,6864,7505,9790","0936,1465,1498,4419,5653,6492,6508,8203,9321,9736"
1985-10-10,Magnum 4D,073/85,2321,1289,4349,"0046,0368,1595,4187,5706,6293,6565,6566,8831,9878","0238,0464,0919,1971,2539,6746,7015,7299,8375,9872"
1985-10-12,Magnum 4D,074/85,8159,9607,0457,"0078,0994,1318,1589,1913,4752,5987,7532,8824,8917","0995,2008,2164,3201,3672,4736,4859,6423,6433,8932"
1985-10-13,Magnum 4D,075/85,3322,8491,5893,"0319,0650,0779,0807,6797,8148,8160,8248,9114,9540","0673,0770,1872,4708,4865,5066,5395,7752,8977,9201"
1985-10-17,Magnum 4D,076/85,1973,6565,5214,"1161,1213,1799,1975,2457,4001,6037,7202,7682,9285","1754,2423,2676,6581,7038,7656,8244,8541,9177,9661"
1985-10-19,Magnum 4D,077/85,4100,7490,8369,"1711,1816,2259,2784,3666,4265,4769,8131,9314,9610","1345,1610,2086,2253,3967,4925,5773,5897,6682,8039"
1985-10-20,Magnum 4D,078/85,2676,1047,4715,"0885,1671,1760,1960,1962,3577,4095,6796,8638,9306","0887,2693,2956,4086,5730,5843,6382,7807,8213,9252"
1985-10-24,Magnum 4D,079/85,2206,3692,0731,"0698,1843,2475,3281,4186,5448,8154,9003,9601,9910","0251,0430,0434,1798,2182,2217,3411,5449,6977,7500"
1985-10-26,Magnum 4D,080/85,4550,3712,1430,"3660,4450,5097,5528,7455,9106,9179,9267,9339,9773","1470,2391,2846,3548,6926,7545,7752,7753,7812,7876"
1985-10-27,Magnum 4D,081/85,4069,3502,8188,"3244,4991,5815,6156,6780,6977,7763,8088,9272,9456","0726,0935,1121,1833,2841,3627,7808,8386,8461,8808"
1985-10-31,Magnum 4D,082/85,6854,4117,5088,"1009,1843,3267,3378,5865,5977,6645,6709,7441,9766","0869,0945,3054,4089,4113,4701,5264,6100,6882,8708"
1985-11-02,Magnum 4D,083/85,1944,7044,6520,"0931,2393,3744,4340,4859,5784,6926,7515,8734,9546","0169,0286,0660,2168,2516,4457,5799,5878,6526,8158"
1985-11-03,Magnum 4D,084/85,3934,7226,7729,"0186,1526,2758,2763,5065,6692,6695,7690,7693,7731","0170,0569,1752,2214,2280,2510,4887,5166,6667,9314"
1985-11-07,Magnum 4D,085/85,1765,3122,3194,"0039,0169,1992,3230,5723,5888,5917,5973,7756,9434","0063,2233,2596,3046,3675,6552,6718,6866,7684,9036"
1985-11-09,Magnum 4D,086/85,9219,5787,6769,"1027,2577,3875,4448,5171,6490,7006,7909,9048,9325","0656,1190,2299,2676,3497,3857,4639,5244,6110,9214"
1985-11-10,Magnum 4D,087/85,8637,2067,2561,"0575,0669,2164,2961,3252,3436,8706,8838,9481,9573","0867,1110,1244,1476,2840,3242,8220,8605,9128,9499"
1985-11-14,Magnum 4D,088/85,1505,8661,6048,"0758,1936,2370,2440,2454,4835,5600,7546,8284,9549","1199,1284,2243,3357,6066,7631,8040,9276,9736,9943"
1985-11-16,Magnum 4D,089/85,2360,8758,1174,"0216,1244,1669,2607,2753,3132,4540,6123,6807,7542","0087,0690,1355,2501,3276,5724,5884,6572,6725,8393"
1985-11-17,Magnum 4D,090/85,5748,3339,4206,"2518,6815,7258,7348,7702,8317,8477,8585,8928,9855","0429,2484,3343,3978,4114,5188,5249,5698,6920,8715"
1985-11-21,Magnum 4D,091/85,5075,7953,3054,"0058,7225,1328,8617,2645,9711,3495,1944,4317,7017","2515,2762,4697,7852,9768,8025,2884,1530,4736,0662"
1985-11-23,Magnum 4D,092/85,8682,8931,8098,"2018,3080,7465,3289,9732,2843,7747,6248,1616,5252","5319,0993,7222,0278,2097,7669,0448,6660,6271,2806"
1985-11-24,Magnum 4D,093/85,9263,4947,8207,"2497,8596,8863,8529,1519,0668,2622,5177,1953,8657","0437,4076,3735,4735,2349,5285,3381,3351,6315,8749"
1985-11-28,Magnum 4D,094/85,4094,9683,8687,"9155,6569,2298,9367,3747,0198,7896,1194,3676,2621","3910,0022,2591,4666,4610,5242,4157,6514,3579,0269"
1985-11-30,Magnum 4D,095/85,1309,7390,8628,"8574,6722,8075,3258,5335,1693,3759,2435,3761,2654","5755,6549,6126,3379,4575,0960,6521,0442,1152,8926"
1985-12-01,Magnum 4D,096/85,4863,2231,0817,"1601,9380,7282,4094,7987,7082,3843,1470,6397,7398","2260,2235,3045,4490,3198,2249,0307,9777,5402,4582"
1985-12-05,Magnum 4D,097/85,9906,2315,8578,"5061,7010,0751,5768,5753,8079,9540,1386,5382,7422","9497,5281,5115,6089,4531,0338,7124,3777,9070,0017"
1985-12-07,Magnum 4D,098/85,4678,4067,6686,"9413,9093,0908,1157,4027,2256,6176,0425,3881,9642","8715,8277,3557,0338,1923,0963,9840,0359,8656,4792"
1985-12-08,Magnum 4D,099/85,0406,3971,0236,"1613,9709,2565,3391,0630,0953,8305,8701,8188,2949","1603,1710,0831,5220,9594,3290,9124,1408,8856,8018"
1985-12-12,Magnum 4D,100/85,1815,4584,8752,"5354,3490,2398,1114,7367,2256,2341,7985,0477,8643","5800,0736,3989,4399,9864,6223,2847,5956,5521,1320"
1985-12-14,Magnum 4D,101/85,4750,2758,7171,"5229,6040,2321,1452,5060,0924,3146,9656,4064,9413","3557,5832,3699,4003,5981,7370,5816,8951,0707,7612"
1985-12-15,Magnum 4D,102/85,2441,6886,1711,"9291,6831,2989,3923,9417,9459,9267,0721,7466,5485","6835,3349,9548,2861,5144,2174,9254,5425,5436,0104"
1985-12-19,Magnum 4D,103/85,5910,2699,5659,"0364,2011,3413,4814,9623,2704,8318,7966,2559,7664","4744,5253,7801,8773,2419,2747,9208,7464,3026,8044"
1985-12-21,Magnum 4D,104/85,3798,5519,1302,"0193,6301,9014,1491,5263,1331,2935,7238,6845,0039","5888,2051,6108,2281,6894,3494,8205,9463,9033,0315"
1985-12-22,Magnum 4D,105/85,6820,8935,0140,"2275,6734,4658,9943,9271,0772,5873,8834,5557,2125","2684,9893,8231,7813,1269,3833,5107,6087,8516,2023"
1985-12-26,Magnum 4D,106/85,5426,4511,5510,"7123,6178,2201,4243,6524,8153,3229,7873,3069,0626","7789,2576,4095,9407,9513,1540,9453,5543,5795,8254"
1985-12-28,Magnum 4D,107/85,8923,3054,6946,"7679,0066,9839,9116,3097,6386,1372,1766,6386,0310","4574,6800,8302,7324,4128,1792,3970,3566,3190,3722"
1985-12-29,Magnum 4D,108/85,8356,3397,9339,"0531,0973,5946,4051,6186,1745,7550,6610,6933,4227","3116,6886,7471,7877,8184,2386,4699,0409,3723,4857"
1986-01-02,Magnum 4D,001/86,8201,2228,7308,"9889,3810,7440,9269,8030,7261,0988,1297,8444,1027","8961,6058,6051,9299,3555,9232,8993,4590,6548,6649"
1986-01-04,Magnum 4D,002/86,7715,3833,6009,"9152,7783,9900,7624,3375,0549,6062,5393,2750,9990","2792,8092,1708,6561,0313,9630,5234,0669,6284,1655"
1986-01-05,Magnum 4D,003/86,5954,3816,0226,"4175,9159,1906,6381,8001,6751,2408,5838,9723,2785","5661,6140,5438,3617,3064,5212,3720,1475,8401,0456"
1986-01-09,Magnum 4D,004/86,7737,4433,1760,"5123,1237,1936,3122,0736,2934,9085,5931,9415,9283","2202,1932,3000,8364,7338,1685,1648,5586,2115,5661"
1986-01-11,Magnum 4D,005/86,6786,7534,8930,"6449,3299,1089,7716,5146,8884,8293,0586,3469,3844","0123,5314,7225,7333,0196,7999,7860,0712,3541,4979"
1986-01-12,Magnum 4D,006/86,7798,7349,0641,"3384,6850,5681,4983,2981,7619,9167,8177,5469,9730","1049,3682,3263,8184,4669,9681,0058,2335,7217,0514"
1986-01-16,Magnum 4D,007/86,1495,9054,7573,"3993,3960,5120,1869,6026,3059,5834,7962,3276,2563","6049,9604,6323,3429,8550,3373,1031,3107,2132,3396"
1986-01-18,Magnum 4D,008/86,4424,1547,9912,"4423,0571,5560,3575,1770,7697,3486,3913,3801,5947","8211,0755,3373,0434,5966,3636,9377,1650,3784,0711"
1986-01-19,Magnum 4D,009/86,4896,7180,5481,"6207,6404,8776,9102,0744,0908,4924,9847,2390,7480","3722,4363,4179,1911,8532,5738,3535,6699,2679,7962"
1986-01-23,Magnum 4D,010/86,4211,4630,0047,"3899,2043,4241,2705,2202,0301,2667,1580,3532,4107","4505,2734,3369,7345,0839,0543,7961,7726,2749,0927"
1986-01-25,Magnum 4D,011/86,7272,7172,7122,"8406,1817,3441,1670,4629,6321,0145,1062,8208,6807","3840,3140,0366,1976,5964,0820,0501,9739,5513,4633"
